Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Education,Equity,We need better funding for schools and better management of funding. “Better funding system” and “Funding for Equity”,WE-ACT Affinity Group,03/09/2010 08:00:00 AM +0000
Education,Expectations,Academic Success for Gifted Children - continuation of the APP Programs in the Seattle School District.  No further deterioration of the APP and Spectrum Programs.  Stop teaching down to the lowest level.,Web,
Education,Expectations,"District-wide policy for high expectations for all, meaningful diplomas, easily accessible information and counseling to paths for college",Seattle Central Community College Group B,05/10/2010 07:00:00 AM +0000
Education,Expectations,Low expectations of students to graduate.,9,03/01/2010 08:00:00 AM +0000
Education,Experiential Learning,"Creative, holistic, experiential learning and teaching.",14,03/01/2010 08:00:00 AM +0000
Education,Family Involvement,"2. Our challenges are consistent funding and time availability.  Also, some communication gaps occur between schools and families.",Web,
Education,Family Involvement,Communication between the parent and the school is not enough.,Chinese community,04/09/2010 07:00:00 AM +0000
Education,Family Involvement,"Communication with youth, schools, teachers, parents",3,02/22/2010 08:00:00 AM +0000
Education,Family Involvement,Family education for parents to have resources to work with their own children to reduce the burden on schools.,5,03/01/2010 08:00:00 AM +0000
Education,Family Involvement,"Family Involvement in education (many strategies, including home visits).",3,03/01/2010 08:00:00 AM +0000
Education ,Family Involvement,Lack of parent empowerment (Teach them to fish),19,03/22/2010 07:00:00 AM +0000
Education,Family Involvement,Lack of parent involvement ,School's Out Washington Group A,04/15/2010 07:00:00 AM +0000
Education,Family Involvement,Lack of parental support; school/parent connection.,11,03/01/2010 08:00:00 AM +0000
Education,Family Involvement,Lack of resources to support parent school partnerships,12,03/15/2010 07:00:00 AM +0000
Education,Family Involvement,Lack of systemic family involvement in education,9,03/15/2010 07:00:00 AM +0000
Education,Family Involvement,need for community based family advocates that can assist between families and schools,East African Community Group B,04/30/2010 07:00:00 AM +0000
Education,Family Involvement,No strategies to get parents involved in children's’ schools ,Next Steps Coalition -- Group B,04/15/2010 07:00:00 AM +0000
Education,Family Involvement,not enough resources/systems for parents without the time and skills who want to contribute to schools and their child's education,The Vera Project -- Group B,04/08/2010 07:00:00 AM +0000
Education,Family Involvement,Parent Education,6,03/08/2010 08:00:00 AM +0000
Education,Family Involvement,Parent Information Center has sabotaged the enrollment numbers to cap schools who are under enrolled. North end schools are not capped.  Parents and communities need to have a role at the decision making table.,SE parents and community advocates,
Education ,Family Involvement,School system is not able to meet children's need (culture and learning styles) Families can't help children because they do not understand services/system/classroom.,4,03/22/2010 07:00:00 AM +0000
Education,Family Involvement,"Students have no parent representation, need for advocate groups",SE Senior Center,04/06/2010 07:00:00 AM +0000
Education,Family Involvement,Support for families to navigate the school system and engage with their child's education. Lots of cultural/language needs.,14,03/01/2010 08:00:00 AM +0000
Education,Family Involvement,Teach families on school policies.,22,03/01/2010 08:00:00 AM +0000
Education,Family Involvement,Transportation problem for seniors to check their youth progress in school.,Tigrinya-speaking community,04/23/2010 07:00:00 AM +0000
Education,Family Support,"Children and families in Seattle need education support, period. If we focus on one thing, it has to be our school system. Though the state is responsible for funding and the district is its own beast, it is a reflection on the City of Seattle. It might not be under the City's authority, but it is still our city's responsibility. And, has been shown, we as a community do a poor job with that responsibility.",Web,
Education,Family Support,Early training/education for low-income families,8,03/01/2010 08:00:00 AM +0000
Education,Family Support,"Family support in the schools - including nurses, counselors",1,03/08/2010 08:00:00 AM +0000
Education,Family Support,Family support workers in Seattle Public Schools for Native American/Alaskan Native children and cultural trainings for staff,United Indians Organization Group A,04/30/2010 07:00:00 AM +0000
Education,Family Support,Family support workers in Seattle Public Schools for Native American/Alaskan Native children and cultural trainings for staff,United Indians Organization Group B,04/30/2010 07:00:00 AM +0000
Education,Family Support,"I want every child success in school. My challenges are when child don't speak the language, he or she never been to school and we don't teach parents what to expect from school that their children are going.  I work with schools. I am parent, and concerned citizen",Web,
Education ,Family Support,Lack of parental support/resources to help children at home,9,03/22/2010 07:00:00 AM +0000
Education ,Family Support,More family support workers for K-12,1,03/22/2010 07:00:00 AM +0000
Education,Family Support,Parent/youth do not know or understand what they need to be successful to graduate or get into college.,"Seattle Parks Employees (CLC, TDL, AC)",05/11/2010 07:00:00 AM +0000
Education,Family Support,"We need to be able to provide a variety of services to meet the diverse needs of our students and families.  If these needs aren't meet (safety, health care, before/after school programs) it will be difficult to have academic success for all students.",Web,
Education,Funding/Resources,"1.  We want a safe place for students to go and learn.  We want students and families to be active participants in the educational system. They should be held accountable, as well as teachers.  Schools need more funds and outreach programs to work effectively.",Web,
Education,Funding/Resources,"2. According to the 2009 Arts Education Research Initiative conducted by the Washington State Arts Commission, 63% of principals are dissatisfied with the quantity of arts education in their schools. In this same study it was reported that 33% of elementary students receive less than one hour per week of arts instruction. This is simply unacceptable. Our children deserve better.",Web,
Education,Funding/Resources,"2. Challenges/issues:  lack of money/resources/support, lack of communication between districts/schools/families, lack of community involvement, villianization of teachers/union (us against them perception), socio economic status (or lack of) in our community (disproportionality).",Web,
Education,Funding/Resources,2. College is unaffordable to many families.,Young Democrats Group D,05/02/2010 07:00:00 AM +0000
Education,Funding/Resources,2. Increase funding.,Web,
Education,Funding/Resources,Academic performance is an issue -- I think a community/school program of community/school vegetable gardens would help children eat better and perform better.,Web,
Education,Funding/Resources,"Adequate resources for schools:  money, community support.",15,03/01/2010 08:00:00 AM +0000
Education,Funding/Resources,"At present, our schools do not have the resources available to them to work and prepare them for the skills needed when they become adults.  Secondly, they need smaller classes (my classes average 31 kids per class).  This needs to be smaller to better engage them in terms of social behavioral expectation and work capacity.",Web,
Education,Funding/Resources,Basic education and beyond needs to be fully funded by state legislature; class size and organization of given resources prevent inclusion and effectiveness.,Seattle Public Schools,04/13/2010 07:00:00 AM +0000
Education,Funding/Resources,Budget is always a major problem for schools. We want to retain as many teachers and programs as possible. We want to emphasize parent/student/teacher interaction and empower the student to take responsibility to do as well in a class as possible.,Web,
